
GROUP INFORMATION
-----------------

Group Name                                                    Type             SID                                                Attributes                                                     
============================================================= ================ ================================================== ===============================================================
Everyone                                                      Well-known group S-1-1-0                                            Mandatory group, Enabled by default, Enabled group             
REDMOND\CEG_SPO_RW_REDMOND_USERS                              Group            S-1-5-21-2127521184-1604012920-1887927527-13765742 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-SYSTEM CENTER-READ                 Group            S-1-5-21-2127521184-1604012920-1887927527-23356006 Mandatory group, Enabled by default, Enabled group             
REDMOND\OSG_SPO_RW_REDMOND_USERS                              Group            S-1-5-21-2127521184-1604012920-1887927527-14236149 Mandatory group, Enabled by default, Enabled group             
REDMOND\salesbisdusers                                        Group            S-1-5-21-2127521184-1604012920-1887927527-17300801 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-ALLUSERS-AUTH                                 Group            S-1-5-21-2127521184-1604012920-1887927527-23340818 Mandatory group, Enabled by default, Enabled group             
REDMOND\CE_RO                                                 Group            S-1-5-21-2127521184-1604012920-1887927527-15185260 Mandatory group, Enabled by default, Enabled group             
REDMOND\AzureSITreaders                                       Group            S-1-5-21-2127521184-1604012920-1887927527-21232996 Mandatory group, Enabled by default, Enabled group             
REDMOND\pcpsh_DPC_RO                                          Group            S-1-5-21-2127521184-1604012920-1887927527-7028230  Mandatory group, Enabled by default, Enabled group             
REDMOND\cmrdbdsst                                             Group            S-1-5-21-2127521184-1604012920-1887927527-19154427 Mandatory group, Enabled by default, Enabled group             
REDMOND\antr-funcchallenge                                    Group            S-1-5-21-2127521184-1604012920-1887927527-24039587 Mandatory group, Enabled by default, Enabled group             
REDMOND\ONELIST_READERS                                       Group            S-1-5-21-2127521184-1604012920-1887927527-22066232 Mandatory group, Enabled by default, Enabled group             
REDMOND\WPDM-SP-TEAM-READERS                                  Group            S-1-5-21-2127521184-1604012920-1887927527-14938796 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-O365-SPO-READ                      Group            S-1-5-21-2127521184-1604012920-1887927527-23399368 Mandatory group, Enabled by default, Enabled group             
REDMOND\bapiorgfte                                            Group            S-1-5-21-2127521184-1604012920-1887927527-18600484 Mandatory group, Enabled by default, Enabled group             
REDMOND\CatalogUsers                                          Group            S-1-5-21-2127521184-1604012920-1887927527-7492442  Mandatory group, Enabled by default, Enabled group             
REDMOND\ASIMOV-DATA-COMMONDIMENSIONACCESS                     Group            S-1-5-21-2127521184-1604012920-1887927527-19175197 Mandatory group, Enabled by default, Enabled group             
REDMOND\skypeuni_rw                                           Group            S-1-5-21-2127521184-1604012920-1887927527-16131846 Mandatory group, Enabled by default, Enabled group             
REDMOND\c360AppUsers                                          Group            S-1-5-21-2127521184-1604012920-1887927527-22387418 Mandatory group, Enabled by default, Enabled group             
REDMOND\osguni_ro                                             Group            S-1-5-21-2127521184-1604012920-1887927527-16131805 Mandatory group, Enabled by default, Enabled group             
REDMOND\FINANCE BI SG - US GOOGLE COMPETE USERS               Group            S-1-5-21-2127521184-1604012920-1887927527-13129468 Mandatory group, Enabled by default, Enabled group             
REDMOND\MSOACTFS                                              Group            S-1-5-21-2127521184-1604012920-1887927527-7693631  Mandatory group, Enabled by default, Enabled group             
REDMOND\Win8-Razacl                                           Group            S-1-5-21-2127521184-1604012920-1887927527-6127364  Mandatory group, Enabled by default, Enabled group             
REDMOND\ORM SHAREPOINT VIEWERS                                Group            S-1-5-21-2127521184-1604012920-1887927527-14256427 Mandatory group, Enabled by default, Enabled group             
REDMOND\DBS READERS                                           Group            S-1-5-21-2127521184-1604012920-1887927527-15663782 Mandatory group, Enabled by default, Enabled group             
REDMOND\domdevsg                                              Group            S-1-5-21-2127521184-1604012920-1887927527-14535333 Mandatory group, Enabled by default, Enabled group             
REDMOND\EliteMembers                                          Group            S-1-5-21-2127521184-1604012920-1887927527-14838881 Mandatory group, Enabled by default, Enabled group             
REDMOND\OFFICE TELEMETRY USERS 2                              Group            S-1-5-21-2127521184-1604012920-1887927527-14243148 Mandatory group, Enabled by default, Enabled group             
REDMOND\cpuse1                                                Group            S-1-5-21-2127521184-1604012920-1887927527-1454012  Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-STORSIMPLE-READ                    Group            S-1-5-21-2127521184-1604012920-1887927527-23356000 Mandatory group, Enabled by default, Enabled group             
REDMOND\mselitepios                                           Group            S-1-5-21-2127521184-1604012920-1887927527-21152430 Mandatory group, Enabled by default, Enabled group             
REDMOND\EXLSTB                                                Group            S-1-5-21-2127521184-1604012920-1887927527-12429126 Mandatory group, Enabled by default, Enabled group             
REDMOND\ov_contrib                                            Group            S-1-5-21-2127521184-1604012920-1887927527-13533460 Mandatory group, Enabled by default, Enabled group             
REDMOND\FS_RED-FSU_FASTTRACK_R                                Group            S-1-5-21-2127521184-1604012920-1887927527-14671869 Mandatory group, Enabled by default, Enabled group             
REDMOND\funcchallenge                                         Group            S-1-5-21-2127521184-1604012920-1887927527-24039623 Mandatory group, Enabled by default, Enabled group             
REDMOND\winfabtalk                                            Group            S-1-5-21-2127521184-1604012920-1887927527-6538477  Mandatory group, Enabled by default, Enabled group             
REDMOND\RAS_smartcard                                         Group            S-1-5-21-2127521184-1604012920-1887927527-572185   Mandatory group, Enabled by default, Enabled group             
REDMOND\CEG_ORG_FTE_REDMOND_1                                 Group            S-1-5-21-2127521184-1604012920-1887927527-18503796 Mandatory group, Enabled by default, Enabled group             
REDMOND\mcio-fis-consumers                                    Group            S-1-5-21-2127521184-1604012920-1887927527-19096573 Mandatory group, Enabled by default, Enabled group             
REDMOND\OBITECR8                                              Group            S-1-5-21-2127521184-1604012920-1887927527-17839736 Mandatory group, Enabled by default, Enabled group             
REDMOND\scottgu_org_fte6                                      Group            S-1-5-21-2127521184-1604012920-1887927527-24111750 Mandatory group, Enabled by default, Enabled group             
REDMOND\TWC SSL SCANNER VIEWERS                               Group            S-1-5-21-2127521184-1604012920-1887927527-14731840 Mandatory group, Enabled by default, Enabled group             
REDMOND\PORTICO-COMMERCIAL-UC-LYNC-SKYPEFB-READ               Group            S-1-5-21-2127521184-1604012920-1887927527-23356258 Mandatory group, Enabled by default, Enabled group             
